Province,Year,HHI_Score,CGC_Score,CCD_Score,ACC_Score
BILIRAN,2007,196.351426,0.808821,0.21978,7.0
BILIRAN,2010,248.716438,0.855017,0.211111,5.966667
BILIRAN,2013,321.31722,0.855,0.259259,6.083333
BILIRAN,2016,348.682459,0.86581,0.241758,3.809524
BILIRAN,2019,215.800338,0.884079,0.21978,6.833333
BILIRAN,2022,254.499294,0.86385,0.252747,7.583333
BILIRAN,2025,374.889949,0.861087,0.307692,7.184524
BOHOL,2004,71.154126,0.76358,0.334004,35.565054
BOHOL,2007,83.026476,0.699281,0.407563,35.618687
BOHOL,2010,89.213219,0.723071,0.427105,33.634199
BOHOL,2013,73.722512,0.730779,0.386076,37.785014
BOHOL,2016,93.638646,0.733874,0.412731,29.739957
BOHOL,2019,59.241507,0.752197,0.340681,35.783766
BOHOL,2022,80.466446,0.750507,0.390873,33.719048
BOHOL,2025,81.745639,0.728532,0.410931,34.716642
BUKIDNON,2004,66.248627,0.867885,0.129167,12.916667
BUKIDNON,2007,73.729608,0.834248,0.160173,13.033333
BUKIDNON,2010,75.881967,0.837593,0.170124,13.25
BUKIDNON,2013,89.227012,0.818519,0.211712,15.633333
BUKIDNON,2016,87.175519,0.846875,0.187234,14.440476
BUKIDNON,2019,82.571939,0.874295,0.182609,11.607143
BUKIDNON,2022,87.199368,0.778399,0.244,18.97619
BUKIDNON,2025,87.903453,0.79324,0.220833,15.433333
BULACAN,2004,250.753868,0.704944,0.534091,18.26346
BULACAN,2007,419.095876,0.647197,0.666667,11.534596
BULACAN,2010,323.194141,0.662709,0.66791,12.24546
BULACAN,2013,368.195352,0.646277,0.67803,9.693254
BULACAN,2016,311.672053,0.657949,0.664151,11.161398
BULACAN,2019,383.109237,0.700935,0.627178,12.872058
BULACAN,2022,353.821159,0.651878,0.661765,8.352056
BULACAN,2025,483.096034,0.606923,0.731518,5.62758
CAGAYAN,2004,75.295353,0.727204,0.315287,25.783333
CAGAYAN,2007,103.719694,0.724385,0.383607,24.395635
